FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2019-09-07,It's Nice To Have A Friend,Taylor Swift,92,1,Taylor Swift
2019-09-07,Daylight,Taylor Swift,89,1,Taylor Swift
2019-09-07,False God,Taylor Swift,77,1,Taylor Swift
2019-09-07,Afterglow,Taylor Swift,75,1,Taylor Swift
2019-09-07,Death By A Thousand Cuts,Taylor Swift,67,1,Taylor Swift
2019-09-07,Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,63,1,Dixie Chicks;Taylor Swift
2019-09-07,London Boy,Taylor Swift,62,1,Taylor Swift
2019-09-07,Cornelia Street,Taylor Swift,57,1,Taylor Swift
2019-09-07,I Think He Knows,Taylor Swift,51,1,Taylor Swift
2019-09-07,Miss Americana & The Heartbreak Prince,Taylor Swift,49,1,Taylor Swift
2019-09-07,Paper Rings,Taylor Swift,45,1,Taylor Swift
2019-09-07,Cruel Summer,Taylor Swift,29,2,Taylor Swift
2019-09-07,I Forgot That You Existed,Taylor Swift,28,2,Taylor Swift
2019-09-07,The Man,Taylor Swift,23,8,Taylor Swift
2019-09-07,One Man Band,Old Dominion,20,28,Old Dominion
2019-08-31,Every Little Thing,Russell Dickerson,50,12,Russell Dickerson
2019-08-31,Slide Away,Miley Cyrus,47,6,Miley Cyrus
2019-08-31,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,39,21,Diplo Presents Thomas Wesley;Morgan Wallen
2019-08-31,Lover,Taylor Swift,10,22,Taylor Swift
2019-08-17,We Were,Keith Urban,65,15,Keith Urban
2019-08-17,Love You Too Late,Cole Swindell,49,14,Cole Swindell
2019-08-17,Prayed For You,Matt Stell,36,20,Matt Stell
2019-08-10,Living,Dierks Bentley,51,16,Dierks Bentley
2019-08-03,The Archer,Taylor Swift,38,3,Taylor Swift
2019-07-27,Like A Rodeo,Kane Brown,90,1,Kane Brown
2019-07-27,Tip Of My Tongue,Kenny Chesney,73,20,Kenny Chesney
2019-07-27,Southbound,Carrie Underwood,64,13,Carrie Underwood
2019-07-20,I Don't Know About You,Chris Lane,39,20,Chris Lane
2019-07-06,One Thing Right,Marshmello & Kane Brown,36,23,Marshmello;Kane Brown
2019-07-06,Panini,Lil Nas X,5,32,Lil Nas X
2019-06-29,The Ones That Didn't Make It Back Home,Justin Moore,46,16,Justin Moore
2019-06-29,You Need To Calm Down,Taylor Swift,2,21,Taylor Swift
2019-06-22,The Git Up,Blanco Brown,14,20,Blanco Brown
2019-06-22,Even Though I'm Leaving,Luke Combs,11,24,Luke Combs
2019-06-15,Call You Mine,The Chainsmokers & Bebe Rexha,56,14,The Chainsmokers;Bebe Rexha
2019-06-15,Mother's Daughter,Miley Cyrus,54,3,Miley Cyrus
2019-06-15,Raised On Country,Chris Young,54,13,Chris Young
2019-06-08,Some Of It,Eric Church,43,13,Eric Church
2019-06-08,Rearview Town,Jason Aldean,40,18,Jason Aldean
2019-06-01,What If I Never Get Over You,Lady Antebellum,40,21,Lady Antebellum
