song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Puppet On A String,Elvis Presley With The Jordanaires,1965,11,3,60.666666666666664,0,1965-11-01
Puppet On A String,Elvis Presley With The Jordanaires,1965,12,4,20.5,0,1965-12-01
Puppet On A String,Elvis Presley With The Jordanaires,1966,1,3,26.333333333333332,0,1966-01-01
Rain,Madonna,1993,7,2,44.5,0,1993-07-01
Rain,Madonna,1993,8,4,25.75,0,1993-08-01
Rain,Madonna,1993,9,4,15.75,0,1993-09-01
Rain,Madonna,1993,10,5,29.4,0,1993-10-01
Rain,Madonna,1993,11,4,63.25,0,1993-11-01
Rain,Madonna,1993,12,1,75.0,0,1993-12-01
Raised On Rock/For Ol' Times Sake,Elvis Presley,1973,9,2,69.5,0,1973-09-01
Raised On Rock/For Ol' Times Sake,Elvis Presley,1973,10,4,44.5,0,1973-10-01
Raised On Rock/For Ol' Times Sake,Elvis Presley,1973,11,3,53.666666666666664,0,1973-11-01
Ray Of Light,Madonna,1998,7,3,6.666666666666667,0,1998-07-01
Ray Of Light,Madonna,1998,8,5,20.8,0,1998-08-01
Ray Of Light,Madonna,1998,9,4,38.5,0,1998-09-01
Ray Of Light,Madonna,1998,10,5,51.6,0,1998-10-01
Ray Of Light,Madonna,1998,11,3,64.33333333333333,0,1998-11-01
Real Love,Dolly Parton (Duet With Kenny Rogers),1985,6,3,95.33333333333333,1,1985-06-01
Red,Taylor Swift,2012,10,2,30.0,0,2012-10-01
Red,Taylor Swift,2012,11,2,83.0,0,2012-11-01
Red,Taylor Swift,2013,1,1,80.0,0,2013-01-01
Red,Taylor Swift,2013,8,2,92.5,0,2013-08-01
Red,Taylor Swift,2013,9,4,80.0,0,2013-09-01
Red,Taylor Swift,2013,10,4,74.25,0,2013-10-01
Red,Taylor Swift,2013,11,5,61.6,0,2013-11-01
Red,Taylor Swift,2013,12,2,52.0,0,2013-12-01
Renegade,Big Red Machine Featuring Taylor Swift,2021,7,1,73.0,0,2021-07-01
Rescue Me,Madonna,1991,3,5,13.0,0,1991-03-01
Rescue Me,Madonna,1991,4,3,59.0,0,1991-04-01
Respect,Aretha Franklin,1967,4,1,50.0,0,1967-04-01
Respect,Aretha Franklin,1967,5,4,11.75,0,1967-05-01
Respect,Aretha Franklin,1967,6,4,1.5,0,1967-06-01
Respect,Aretha Franklin,1967,7,3,18.666666666666668,0,1967-07-01
Return To Sender,Elvis Presley With The Jordanaires,1962,10,2,44.0,0,1962-10-01
Return To Sender,Elvis Presley With The Jordanaires,1962,11,4,4.5,0,1962-11-01
Return To Sender,Elvis Presley With The Jordanaires,1962,12,5,3.0,0,1962-12-01
Return To Sender,Elvis Presley With The Jordanaires,1963,1,4,19.0,0,1963-01-01
Return To Sender,Elvis Presley With The Jordanaires,1963,2,1,51.0,0,1963-02-01
Rock Steady,Aretha Franklin,1971,10,1,69.0,0,1971-10-01
Rock Steady,Aretha Franklin,1971,11,4,20.0,0,1971-11-01
Rock Steady,Aretha Franklin,1971,12,4,16.75,0,1971-12-01
Rock-A-Bye Your Baby With A Dixie Melody,Aretha Franklin,1961,10,4,66.25,0,1961-10-01
Rock-A-Bye Your Baby With A Dixie Melody,Aretha Franklin,1961,11,4,40.75,0,1961-11-01
Rock-A-Bye Your Baby With A Dixie Melody,Aretha Franklin,1961,12,1,49.0,0,1961-12-01
Rock-A-Hula Baby,Elvis Presley With The Jordanaires,1961,12,4,41.5,0,1961-12-01
Rock-A-Hula Baby,Elvis Presley With The Jordanaires,1962,1,4,31.75,0,1962-01-01
Rock-A-Hula Baby,Elvis Presley With The Jordanaires,1962,2,1,49.0,0,1962-02-01
Rock-A-Lott,Aretha Franklin,1987,6,2,90.0,0,1987-06-01
Rock-A-Lott,Aretha Franklin,1987,7,2,86.5,0,1987-07-01
Romeo,Dolly Parton & Friends,1993,3,3,79.33333333333333,1,1993-03-01
Romeo,Dolly Parton & Friends,1993,4,4,52.75,1,1993-04-01
Romeo,Dolly Parton & Friends,1993,5,5,73.2,1,1993-05-01
Romeo,Dolly Parton & Friends,1993,6,2,97.0,1,1993-06-01
Ronan,Taylor Swift,2012,9,2,26.0,0,2012-09-01
Rough Lover,Aretha Franklin,1962,2,1,94.0,0,1962-02-01
Rubberneckin',Elvis Presley,2003,9,1,94.0,0,2003-09-01
Rubberneckin',Elvis Presley,2003,10,1,100.0,0,2003-10-01
Runnin' Out Of Fools,Aretha Franklin,1964,9,2,95.0,0,1964-09-01
Runnin' Out Of Fools,Aretha Franklin,1964,10,5,75.4,0,1964-10-01
Runnin' Out Of Fools,Aretha Franklin,1964,11,3,58.0,0,1964-11-01
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012,1,4,41.0,0,2012-01-01
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012,2,1,91.0,0,2012-02-01
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012,3,5,65.2,0,2012-03-01
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012,4,4,49.5,0,2012-04-01
Safe & Sound,Taylor Swift Featuring The Civil Wars,2012,5,3,77.0,0,2012-05-01
Save The Last Dance For Me,Dolly Parton,1983,12,4,67.5,1,1983-12-01
Save The Last Dance For Me,Dolly Parton,1984,1,4,48.0,1,1984-01-01
Save The Last Dance For Me,Dolly Parton,1984,2,4,69.0,1,1984-02-01
Secret,Madonna,1994,10,4,11.75,0,1994-10-01
Secret,Madonna,1994,11,4,5.0,0,1994-11-01
Secret,Madonna,1994,12,5,8.2,0,1994-12-01
Secret,Madonna,1995,1,4,18.5,0,1995-01-01
Secret,Madonna,1995,2,4,37.25,0,1995-02-01
Secret,Madonna,1995,3,1,50.0,0,1995-03-01
See Saw,Aretha Franklin,1968,11,2,28.5,0,1968-11-01
See Saw,Aretha Franklin,1968,12,4,14.75,0,1968-12-01
See Saw,Aretha Franklin,1969,1,2,28.0,0,1969-01-01
Separate Ways,Elvis Presley,1972,12,5,48.8,0,1972-12-01
Separate Ways,Elvis Presley,1973,1,4,24.5,0,1973-01-01
Separate Ways,Elvis Presley,1973,2,3,29.333333333333332,0,1973-02-01
Seven,Taylor Swift,2020,8,2,66.5,0,2020-08-01
Shake It Off,Taylor Swift,2014,9,4,1.5,0,2014-09-01
Shake It Off,Taylor Swift,2014,10,4,2.0,0,2014-10-01
Shake It Off,Taylor Swift,2014,11,5,1.8,0,2014-11-01
Shake It Off,Taylor Swift,2014,12,4,6.25,0,2014-12-01
Shake It Off,Taylor Swift,2015,1,5,8.2,0,2015-01-01
Shake It Off,Taylor Swift,2015,2,4,9.75,0,2015-02-01
Shake It Off,Taylor Swift,2015,3,4,20.5,0,2015-03-01
Shake It Off,Taylor Swift,2015,4,4,25.25,0,2015-04-01
Shake It Off,Taylor Swift,2015,5,5,33.6,0,2015-05-01
Shake It Off,Taylor Swift,2015,6,4,37.5,0,2015-06-01
Shake It Off,Taylor Swift,2015,7,4,43.75,0,2015-07-01
Shake It Off,Taylor Swift,2015,8,3,48.0,0,2015-08-01
Share Your Love With Me,Aretha Franklin,1969,8,5,36.2,0,1969-08-01
Share Your Love With Me,Aretha Franklin,1969,9,4,18.75,0,1969-09-01
Share Your Love With Me,Aretha Franklin,1969,10,1,31.0,0,1969-10-01
She's Not You,Elvis Presley With The Jordanaires,1962,8,4,26.0,0,1962-08-01
She's Not You,Elvis Presley With The Jordanaires,1962,9,5,8.6,0,1962-09-01
She's Not You,Elvis Presley With The Jordanaires,1962,10,1,32.0,0,1962-10-01
Should've Said No,Taylor Swift,2008,6,4,77.0,0,2008-06-01
Should've Said No,Taylor Swift,2008,7,4,50.75,0,2008-07-01
Should've Said No,Taylor Swift,2008,8,5,35.4,0,2008-08-01
Should've Said No,Taylor Swift,2008,9,4,54.5,0,2008-09-01
Should've Said No,Taylor Swift,2008,10,3,85.0,0,2008-10-01
Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,1985,10,2,53.5,0,1985-10-01
Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,1985,11,5,31.4,0,1985-11-01
Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,1985,12,4,30.25,0,1985-12-01
Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,1986,1,4,63.5,0,1986-01-01
Something He Can Feel,Aretha Franklin,1976,6,3,67.0,0,1976-06-01
Something He Can Feel,Aretha Franklin,1976,7,5,34.2,0,1976-07-01
Something He Can Feel,Aretha Franklin,1976,8,4,42.5,0,1976-08-01
Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,2019,9,1,63.0,0,2019-09-01
Sorry,Madonna,2006,3,3,68.33333333333333,0,2006-03-01
Sorry,Madonna,2006,4,3,83.33333333333333,0,2006-04-01
Soulville,Aretha Franklin,1968,2,1,84.0,0,1968-02-01
Soulville,Aretha Franklin,1968,3,2,83.0,0,1968-03-01
Spanish Harlem,Aretha Franklin,1971,7,1,69.0,0,1971-07-01
Spanish Harlem,Aretha Franklin,1971,8,4,17.75,0,1971-08-01
Spanish Harlem,Aretha Franklin,1971,9,4,3.25,0,1971-09-01
Spanish Harlem,Aretha Franklin,1971,10,3,13.333333333333334,0,1971-10-01
Sparks Fly,Taylor Swift,2010,11,2,47.5,0,2010-11-01
Sparks Fly,Taylor Swift,2011,8,1,84.0,0,2011-08-01
Sparks Fly,Taylor Swift,2011,9,4,67.25,0,2011-09-01
Sparks Fly,Taylor Swift,2011,10,5,56.0,0,2011-10-01
Sparks Fly,Taylor Swift,2011,11,4,46.5,0,2011-11-01
Sparks Fly,Taylor Swift,2011,12,4,64.75,0,2011-12-01
Speak Now,Taylor Swift,2010,10,2,26.5,0,2010-10-01
Speak Now,Taylor Swift,2010,11,1,86.0,0,2010-11-01
Spinout,Elvis Presley With The Jordanaires,1966,10,4,56.5,0,1966-10-01
Spinout,Elvis Presley With The Jordanaires,1966,11,3,49.333333333333336,0,1966-11-01
Spirit In The Dark,Aretha Franklin with The Dixie Flyers,1970,5,2,67.0,0,1970-05-01
Spirit In The Dark,Aretha Franklin with The Dixie Flyers,1970,6,4,32.0,0,1970-06-01
Spirit In The Dark,Aretha Franklin with The Dixie Flyers,1970,7,2,33.0,0,1970-07-01
Starting Over Again,Dolly Parton,1980,3,1,84.0,1,1980-03-01
Starting Over Again,Dolly Parton,1980,4,4,61.0,1,1980-04-01
Starting Over Again,Dolly Parton,1980,5,5,53.4,1,1980-05-01
State Of Grace,Taylor Swift,2012,11,1,13.0,0,2012-11-01
Stay Away,Elvis Presley With The Jordanaires,1968,3,3,79.0,0,1968-03-01
Stay Away,Elvis Presley With The Jordanaires,1968,4,2,72.0,0,1968-04-01
Stay Stay Stay,Taylor Swift,2012,11,1,91.0,0,2012-11-01
Steamroller Blues/Fool,Elvis Presley,1973,4,3,61.333333333333336,0,1973-04-01
Steamroller Blues/Fool,Elvis Presley,1973,5,4,24.5,0,1973-05-01
Steamroller Blues/Fool,Elvis Presley,1973,6,5,33.8,0,1973-06-01
Stuck On You,Elvis Presley With The Jordanaires,1960,4,4,27.0,0,1960-04-01
Stuck On You,Elvis Presley With The Jordanaires,1960,5,5,1.4,0,1960-05-01
Stuck On You,Elvis Presley With The Jordanaires,1960,6,4,10.5,0,1960-06-01
Stuck On You,Elvis Presley With The Jordanaires,1960,7,3,60.666666666666664,0,1960-07-01
Style,Taylor Swift,2014,11,1,60.0,0,2014-11-01
Style,Taylor Swift,2014,12,1,76.0,0,2014-12-01
Style,Taylor Swift,2015,1,4,69.75,0,2015-01-01
Style,Taylor Swift,2015,2,4,23.5,0,2015-02-01
Style,Taylor Swift,2015,3,4,7.0,0,2015-03-01
Style,Taylor Swift,2015,4,4,7.75,0,2015-04-01
Style,Taylor Swift,2015,5,5,15.2,0,2015-05-01
Style,Taylor Swift,2015,6,4,28.75,0,2015-06-01
Style,Taylor Swift,2015,7,4,43.75,0,2015-07-01
Style,Taylor Swift,2015,8,1,48.0,0,2015-08-01
Suavemente,Elvis Crespo,1998,11,2,90.0,0,1998-11-01
Such A Night,Elvis Presley With The Jordanaires,1964,7,1,82.0,0,1964-07-01
Such A Night,Elvis Presley With The Jordanaires,1964,8,5,30.2,0,1964-08-01
Such A Night,Elvis Presley With The Jordanaires,1964,9,2,27.0,0,1964-09-01
Superman,Taylor Swift,2011,11,1,26.0,0,2011-11-01
Superstar,Taylor Swift,2009,11,1,26.0,0,2009-11-01
Surrender,Elvis Presley With The Jordanaires,1961,2,2,14.0,0,1961-02-01
Surrender,Elvis Presley With The Jordanaires,1961,3,4,1.5,0,1961-03-01
Surrender,Elvis Presley With The Jordanaires,1961,4,4,9.75,0,1961-04-01
Surrender,Elvis Presley With The Jordanaires,1961,5,2,33.5,0,1961-05-01
Suspicious Minds,Elvis Presley,1969,9,3,44.0,0,1969-09-01
Suspicious Minds,Elvis Presley,1969,10,4,9.0,0,1969-10-01
Suspicious Minds,Elvis Presley,1969,11,5,7.0,0,1969-11-01
Suspicious Minds,Elvis Presley,1969,12,3,34.0,0,1969-12-01
Sweet Summer Lovin',Dolly Parton,1979,9,1,90.0,1,1979-09-01
Sweet Summer Lovin',Dolly Parton,1979,10,2,77.5,1,1979-10-01
Sweeter Than Fiction,Taylor Swift,2013,11,1,34.0,0,2013-11-01
T-R-O-U-B-L-E,Elvis Presley,1975,5,4,62.5,0,1975-05-01
T-R-O-U-B-L-E,Elvis Presley,1975,6,4,38.5,0,1975-06-01
T-R-O-U-B-L-E,Elvis Presley,1975,7,1,68.0,0,1975-07-01
Take A Bow,Madonna,1994,12,3,25.666666666666668,0,1994-12-01
Take A Bow,Madonna,1995,1,4,7.5,0,1995-01-01
Take A Bow,Madonna,1995,2,4,2.75,0,1995-02-01
Take A Bow,Madonna,1995,3,4,1.0,0,1995-03-01
Take A Bow,Madonna,1995,4,5,4.6,0,1995-04-01
Take A Bow,Madonna,1995,5,4,17.0,0,1995-05-01
Take A Bow,Madonna,1995,6,4,30.75,0,1995-06-01
Take A Bow,Madonna,1995,7,2,44.0,0,1995-07-01
Take A Look,Aretha Franklin,1967,9,5,68.8,0,1967-09-01
Take A Look,Aretha Franklin,1967,10,3,57.666666666666664,0,1967-10-01
Teardrops On My Guitar,Taylor Swift,2007,3,2,85.0,0,2007-03-01
Teardrops On My Guitar,Taylor Swift,2007,4,4,65.0,0,2007-04-01
Teardrops On My Guitar,Taylor Swift,2007,5,4,52.5,0,2007-05-01
Teardrops On My Guitar,Taylor Swift,2007,6,5,44.6,0,2007-06-01
Teardrops On My Guitar,Taylor Swift,2007,7,4,42.0,0,2007-07-01
Teardrops On My Guitar,Taylor Swift,2007,8,4,36.0,0,2007-08-01
Teardrops On My Guitar,Taylor Swift,2007,9,2,49.5,0,2007-09-01
Teardrops On My Guitar,Taylor Swift,2007,12,3,32.666666666666664,0,2007-12-01
Teardrops On My Guitar,Taylor Swift,2008,1,4,19.25,0,2008-01-01
Teardrops On My Guitar,Taylor Swift,2008,2,4,14.75,0,2008-02-01
Teardrops On My Guitar,Taylor Swift,2008,3,5,18.6,0,2008-03-01
Teardrops On My Guitar,Taylor Swift,2008,4,4,25.75,0,2008-04-01
Teardrops On My Guitar,Taylor Swift,2008,5,3,45.0,0,2008-05-01
Tell Me Why,Elvis Presley With The Jordanaires,1966,1,5,51.2,0,1966-01-01
Tell Me Why,Elvis Presley With The Jordanaires,1966,2,2,41.0,0,1966-02-01
That's Someone You Never Forget,Elvis Presley With The Jordanaires,1967,5,1,92.0,0,1967-05-01
The 1,Taylor Swift,2020,8,4,36.0,0,2020-08-01
The 1,Taylor Swift,2020,9,2,88.5,0,2020-09-01
The Archer,Taylor Swift,2019,8,2,74.0,0,2019-08-01
The Archer,Taylor Swift,2019,9,1,38.0,0,2019-09-01
The Elvis Medley,Elvis Presley,1982,11,1,84.0,0,1982-11-01
The Elvis Medley,Elvis Presley,1982,12,4,72.75,0,1982-12-01
The Elvis Medley,Elvis Presley,1983,1,2,81.5,0,1983-01-01
The Greatest Gift Of All,Kenny Rogers & Dolly Parton,1984,12,2,83.0,1,1984-12-01
The Greatest Gift Of All,Kenny Rogers & Dolly Parton,1985,1,2,81.0,1,1985-01-01
The House Of The Rising Sun,Dolly Parton,1981,9,2,82.0,1,1981-09-01
The House Of The Rising Sun,Dolly Parton,1981,10,2,86.0,1,1981-10-01
The House That Jack Built,Aretha Franklin,1968,8,3,33.333333333333336,0,1968-08-01
The House That Jack Built,Aretha Franklin,1968,9,4,8.75,0,1968-09-01
The House That Jack Built,Aretha Franklin,1968,10,2,22.5,0,1968-10-01
The Last Great American Dynasty,Taylor Swift,2020,8,2,39.5,0,2020-08-01
The Man,Taylor Swift,2019,9,3,60.0,0,2019-09-01
The Man,Taylor Swift,2020,3,2,88.5,0,2020-03-01
The Man,Taylor Swift,2020,4,3,88.66666666666667,0,2020-04-01
The Moment I Knew,Taylor Swift,2013,1,1,64.0,0,2013-01-01
The Only Flame In Town,Elvis Costello & The Atrractions,1984,7,1,83.0,0,1984-07-01
The Only Flame In Town,Elvis Costello & The Atrractions,1984,8,4,64.0,0,1984-08-01
The Only Flame In Town,Elvis Costello & The Atrractions,1984,9,4,81.5,0,1984-09-01
The Other Side Of The Door,Taylor Swift,2009,11,2,58.5,0,2009-11-01
The Power Of Good-Bye,Madonna,1998,10,3,18.0,0,1998-10-01
The Power Of Good-Bye,Madonna,1998,11,4,12.75,0,1998-11-01
The Power Of Good-Bye,Madonna,1998,12,4,33.0,0,1998-12-01
The Power Of Good-Bye,Madonna,1999,1,5,57.8,0,1999-01-01
The Power Of Good-Bye,Madonna,1999,2,3,88.33333333333333,0,1999-02-01
The Story Of Us,Taylor Swift,2010,11,1,41.0,0,2010-11-01
The Story Of Us,Taylor Swift,2011,5,1,98.0,0,2011-05-01
The Story Of Us,Taylor Swift,2011,6,4,75.75,0,2011-06-01
The Story Of Us,Taylor Swift,2011,7,5,71.6,0,2011-07-01
The Story Of Us,Taylor Swift,2011,8,1,97.0,0,2011-08-01
The Way I Loved You,Taylor Swift,2008,11,1,72.0,0,2008-11-01
The Way I Loved You (Taylor's Version),Taylor Swift,2021,4,1,94.0,0,2021-04-01
The Weight,Aretha Franklin,1969,2,1,52.0,0,1969-02-01
The Weight,Aretha Franklin,1969,3,5,23.6,0,1969-03-01
The Weight,Aretha Franklin,1969,4,1,32.0,0,1969-04-01
The Wonder Of You/Mama Liked The Roses,Elvis Presley,1970,5,3,45.0,0,1970-05-01
The Wonder Of You/Mama Liked The Roses,Elvis Presley,1970,6,4,17.0,0,1970-06-01
The Wonder Of You/Mama Liked The Roses,Elvis Presley,1970,7,4,12.0,0,1970-07-01
The Wonder Of You/Mama Liked The Roses,Elvis Presley,1970,8,1,24.0,0,1970-08-01
There's Always Me,Elvis Presley With The Jordanaires,1967,8,1,90.0,0,1967-08-01
There's Always Me,Elvis Presley With The Jordanaires,1967,9,5,61.2,0,1967-09-01
They Remind Me Too Much Of You,Elvis Presley With The Mello Men,1963,2,1,74.0,0,1963-02-01
They Remind Me Too Much Of You,Elvis Presley With The Mello Men,1963,3,3,60.0,0,1963-03-01
Think,Aretha Franklin,1968,5,2,41.5,0,1968-05-01
Think,Aretha Franklin,1968,6,5,8.8,0,1968-06-01
Think,Aretha Franklin,1968,7,3,19.666666666666668,0,1968-07-01
This Is Me Trying,Taylor Swift,2020,8,1,39.0,0,2020-08-01
This Used To Be My Playground,Madonna,1992,7,4,15.25,0,1992-07-01
This Used To Be My Playground,Madonna,1992,8,5,2.6,0,1992-08-01
This Used To Be My Playground,Madonna,1992,9,4,13.25,0,1992-09-01
This Used To Be My Playground,Madonna,1992,10,5,51.2,0,1992-10-01
This Used To Be My Playground,Madonna,1992,11,2,80.5,0,1992-11-01
Through The Storm,Aretha Franklin & Elton John,1989,4,3,45.0,0,1989-04-01
Through The Storm,Aretha Franklin & Elton John,1989,5,4,23.0,0,1989-05-01
Through The Storm,Aretha Franklin & Elton John,1989,6,4,48.25,0,1989-06-01
Tickle Me,Elvis Presley With The Jordanaires,1965,7,4,88.25,0,1965-07-01
Tickle Me,Elvis Presley With The Jordanaires,1965,8,3,75.0,0,1965-08-01
Tim McGraw,Taylor Swift,2006,9,2,86.5,0,2006-09-01
Tim McGraw,Taylor Swift,2006,10,4,70.5,0,2006-10-01
Tim McGraw,Taylor Swift,2006,11,4,52.5,0,2006-11-01
Tim McGraw,Taylor Swift,2006,12,5,45.6,0,2006-12-01
Tim McGraw,Taylor Swift,2007,1,4,42.75,0,2007-01-01
Tim McGraw,Taylor Swift,2007,2,1,43.0,0,2007-02-01
Today Was A Fairytale,Taylor Swift,2010,2,4,23.25,0,2010-02-01
Today Was A Fairytale,Taylor Swift,2010,3,4,28.75,0,2010-03-01
Today Was A Fairytale,Taylor Swift,2010,4,4,37.5,0,2010-04-01
Today Was A Fairytale,Taylor Swift,2010,5,5,76.6,0,2010-05-01
Today Was A Fairytale,Taylor Swift,2010,6,1,97.0,0,2010-06-01
Tolerate It,Taylor Swift,2020,12,1,45.0,0,2020-12-01
Tracks Of My Tears,Aretha Franklin,1969,3,3,87.33333333333333,0,1969-03-01
Tracks Of My Tears,Aretha Franklin,1969,4,3,74.66666666666667,0,1969-04-01
Trouble In Mind,Aretha Franklin,1962,12,3,90.66666666666667,0,1962-12-01
Trouble In Mind,Aretha Franklin,1963,1,2,89.5,0,1963-01-01
True Blue,Madonna,1986,10,4,26.25,0,1986-10-01
True Blue,Madonna,1986,11,5,4.0,0,1986-11-01
True Blue,Madonna,1986,12,4,32.5,0,1986-12-01
True Blue,Madonna,1987,1,3,73.0,0,1987-01-01
Try A Little Tenderness,Aretha Franklin,1962,9,1,100.0,0,1962-09-01
Two Doors Down,Dolly Parton,1978,3,2,61.5,1,1978-03-01
Two Doors Down,Dolly Parton,1978,4,5,32.4,1,1978-04-01
Two Doors Down,Dolly Parton,1978,5,4,23.5,1,1978-05-01
Two Doors Down,Dolly Parton,1978,6,1,93.0,1,1978-06-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2009,9,1,92.0,0,2009-09-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2009,11,3,63.666666666666664,0,2009-11-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2009,12,4,33.25,0,2009-12-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010,1,5,21.6,0,2010-01-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010,2,4,21.5,0,2010-02-01
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010,3,4,35.25,0,2010-03-01
U.S. Male,Elvis Presley With The Jordanaires,1968,3,2,69.0,0,1968-03-01
U.S. Male,Elvis Presley With The Jordanaires,1968,4,4,38.25,0,1968-04-01
U.S. Male,Elvis Presley With The Jordanaires,1968,5,3,33.333333333333336,0,1968-05-01
United Together,Aretha Franklin,1980,12,1,81.0,0,1980-12-01
United Together,Aretha Franklin,1981,1,5,64.4,0,1981-01-01
United Together,Aretha Franklin,1981,2,2,80.0,0,1981-02-01
Until It's Time For You To Go,Elvis Presley,1972,1,1,80.0,0,1972-01-01
Until It's Time For You To Go,Elvis Presley,1972,2,4,52.5,0,1972-02-01
Until It's Time For You To Go,Elvis Presley,1972,3,4,47.0,0,1972-03-01
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,1973,11,1,98.0,0,1973-11-01
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,1973,12,5,38.8,0,1973-12-01
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,1974,1,4,14.75,0,1974-01-01
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,1974,2,4,5.0,0,1974-02-01
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,1974,3,5,19.0,0,1974-03-01
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,1974,4,2,42.5,0,1974-04-01
Untouchable,Taylor Swift,2009,11,2,44.0,0,2009-11-01
Veronica,Elvis Costello,1989,4,2,69.5,0,1989-04-01
Veronica,Elvis Costello,1989,5,4,46.0,0,1989-05-01
Veronica,Elvis Costello,1989,6,4,23.75,0,1989-06-01
Veronica,Elvis Costello,1989,7,4,64.0,0,1989-07-01
Viva Las Vegas,Elvis Presley,1964,7,1,92.0,0,1964-07-01
Viva Las Vegas,Elvis Presley With The Jordanaires,1964,5,4,55.0,0,1964-05-01
Viva Las Vegas,Elvis Presley With The Jordanaires,1964,6,3,34.0,0,1964-06-01
Vogue,Madonna,1990,4,3,26.333333333333332,0,1990-04-01
Vogue,Madonna,1990,5,4,2.0,0,1990-05-01
Vogue,Madonna,1990,6,5,5.6,0,1990-06-01
Vogue,Madonna,1990,7,4,29.0,0,1990-07-01
Vogue,Madonna,1990,8,4,55.75,0,1990-08-01
Vogue,Madonna,1990,9,4,77.5,0,1990-09-01
Way Down,Elvis Presley,1977,6,1,70.0,0,1977-06-01
Way Down,Elvis Presley,1977,7,5,40.8,0,1977-07-01
Way Down,Elvis Presley,1977,8,4,40.5,0,1977-08-01
Way Down,Elvis Presley,1977,9,4,24.5,0,1977-09-01
Way Down,Elvis Presley,1977,10,5,32.4,0,1977-10-01
Way Down,Elvis Presley,1977,11,2,78.5,0,1977-11-01
We Are Never Ever Getting Back Together,Taylor Swift,2012,8,1,72.0,0,2012-08-01
We Are Never Ever Getting Back Together,Taylor Swift,2012,9,5,1.4,0,2012-09-01
We Are Never Ever Getting Back Together,Taylor Swift,2012,10,4,4.5,0,2012-10-01
We Are Never Ever Getting Back Together,Taylor Swift,2012,11,4,6.75,0,2012-11-01
We Are Never Ever Getting Back Together,Taylor Swift,2012,12,5,17.4,0,2012-12-01
We Are Never Ever Getting Back Together,Taylor Swift,2013,1,4,27.5,0,2013-01-01
We Are Never Ever Getting Back Together,Taylor Swift,2013,2,1,46.0,0,2013-02-01
Welcome To New York,Taylor Swift,2014,11,2,58.5,0,2014-11-01
What It Feels Like For A Girl,Madonna,2001,5,4,41.25,0,2001-05-01
What It Feels Like For A Girl,Madonna,2001,6,5,49.4,0,2001-06-01
What It Feels Like For A Girl,Madonna,2001,7,1,97.0,0,2001-07-01
What'd I Say,Elvis Presley With The Jubilee Four And Carole Lombard Quartet,1964,5,2,39.5,0,1964-05-01
What'd I Say,Elvis Presley With The Jubilee Four And Carole Lombard Quartet,1964,6,4,25.25,0,1964-06-01
When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,2005,12,5,73.4,1,2005-12-01
When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,2006,1,4,65.0,1,2006-01-01
When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,2006,2,4,47.75,1,2006-02-01
When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,2006,3,4,42.0,1,2006-03-01
When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,2006,4,3,58.666666666666664,1,2006-04-01
"Where Did They Go, Lord/Rags To Riches",Elvis Presley,1971,3,3,48.333333333333336,0,1971-03-01
"Where Did They Go, Lord/Rags To Riches",Elvis Presley,1971,4,4,42.25,0,1971-04-01
Where Do You Come From,Elvis Presley With The Jordanaires,1962,10,1,99.0,0,1962-10-01
White Horse,Taylor Swift,2008,11,1,13.0,0,2008-11-01
White Horse,Taylor Swift,2008,12,4,51.5,0,2008-12-01
White Horse,Taylor Swift,2009,1,5,39.8,0,2009-01-01
White Horse,Taylor Swift,2009,2,4,38.0,0,2009-02-01
White Horse,Taylor Swift,2009,3,4,31.0,0,2009-03-01
White Horse,Taylor Swift,2009,4,4,36.75,0,2009-04-01
Who's That Girl,Madonna,1987,7,3,34.0,0,1987-07-01
Who's That Girl,Madonna,1987,8,5,4.6,0,1987-08-01
Who's That Girl,Madonna,1987,9,4,16.5,0,1987-09-01
