song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
Dress You Up,Madonna,1985,11,5,69.8,0,1985-11-01
Eleanor Rigby,Aretha Franklin,1969,11,4,48.25,0,1969-11-01
Eleanor Rigby,Aretha Franklin,1969,12,4,24.25,0,1969-12-01
Enchanted,Taylor Swift,2010,11,1,75.0,0,2010-11-01
End Game,Taylor Swift Featuring Ed Sheeran & Future,2017,12,4,64.25,0,2017-12-01
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018,1,4,33.25,0,2018-01-01
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018,2,4,45.75,0,2018-02-01
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018,3,1,91.0,0,2018-03-01
Epiphany,Taylor Swift,2020,8,1,57.0,0,2020-08-01
Erotica,Madonna,1992,10,3,7.0,0,1992-10-01
Erotica,Madonna,1992,11,4,11.25,0,1992-11-01
Erotica,Madonna,1992,12,4,42.5,0,1992-12-01
Erotica,Madonna,1993,1,5,67.2,0,1993-01-01
Erotica,Madonna,1993,2,2,91.0,0,1993-02-01
Evermore,Taylor Swift Featuring Bon Iver,2020,12,1,57.0,0,2020-12-01
Everyday I Write The Book,Elvis Costello And The Attractions,1983,8,2,76.5,0,1983-08-01
Everyday I Write The Book,Elvis Costello And The Attractions,1983,9,4,52.0,0,1983-09-01
Everyday I Write The Book,Elvis Costello And The Attractions,1983,10,5,40.8,0,1983-10-01
Everyday I Write The Book,Elvis Costello And The Attractions,1983,11,3,80.0,0,1983-11-01
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2012,11,1,67.0,0,2012-11-01
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2013,6,2,85.0,0,2013-06-01
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2013,8,4,54.75,0,2013-08-01
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2013,9,4,46.25,0,2013-09-01
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2013,10,4,40.75,0,2013-10-01
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,2013,11,5,46.8,0,2013-11-01
Exile,Taylor Swift Featuring Bon Iver,2020,8,4,46.25,0,2020-08-01
Exile,Taylor Swift Featuring Bon Iver,2020,9,1,98.0,0,2020-09-01
Express Yourself,Madonna,1989,6,4,27.5,0,1989-06-01
Express Yourself,Madonna,1989,7,5,3.4,0,1989-07-01
Express Yourself,Madonna,1989,8,4,31.5,0,1989-08-01
