Title,Artists,Writers,Album,Year
Do I Ever Cross Your Mind,,,Live at the Bottom Line,2015
Do I Ever Cross Your Mind,Emmylou Harris;Linda Ronstadt,,The Complete Trio Collection,2016
Do I Love You (Yes in Every Way),Paul Anka,Alain Joseph Yves Le Govic;Maxime Piolot;Michel Albert Louis Pelay;Paul Anka;Yves Dessca,Duets,2013
Do You Hear the Robbins Sing,,Porter Wagoner,"My Favorite Songwriter, Porter Wagoner",1972
Do You Know,Jessica Simpson,,Do You Know,2008
Do You Think That Time Stands Still,,,Great Balls of Fire,1979
Does He Love You,Reba McEntire,Billy Stritch;Sandy Knox,Revived Remixed Revisited,2021
Don't Call It Love,,Dean Pitchford;Tom Snow,Real Love,1985
Don't Drop Out,,Bobby Russell;James Cason,Single A-side,1966
Don't Let It Trouble Your Mind,,,In the Good Old Days (When Times Were Bad),1969
Don't Let Me Cross Over,,Penny Jay,Treasures,1996
Don't Step Over an Old Love,Ricky Skaggs,Fred Stryker,Don't Cheat in Our Hometown,1983
Don't Think Twice,,Bob Dylan,Blue Smoke,2014
Down,,,Great Balls of Fire,1979
Down from Dover,,,The Fairest of Them All,1970
Down from Dover,,,Little Sparrow,2001
Down on Music Row,,,My Tennessee Mountain Home,1973
Downtown,,Tony Hatch,The Great Pretender,1984
Dr. Robert F. Thomas,,,My Tennessee Mountain Home,1973
Dreaming My Dreams with You,Alison Krauss;Lyle Lovett,Allen Reynolds,Forget About It,1999
Dreams Do Come True,,Bill Owens,Eagle When She Flies,1991
Dreams Do Come True,Bill Owens,Bill Owens,Dreams Do Come True,
Drifting Too Far from the Shore,Porter Wagoner,Charles E. Moody,Best of Grand Old Gospel 2008,2007
Driven,,,"Run, Rose, Run",2022
Drives Me Crazy,,David Steele;Roland Gift,Backwoods Barbie,2008
Dumb Blonde,,Curly Putman,"Hello, I'm Dolly",1967
Dumb Blonde,,Curly Putman,A Real Live Dolly,1970
Dumb Blonde,Miranda Lambert,Curly Putman,Dumplin',2018
Dump the Dude,,Allan Rich;Steve Dorff,Rainbow,1987
Each Season Changes You,Porter Wagoner,Ruth Talley,Porter Wayne and Dolly Rebecca,1970
Eager to Please,,,First Dog,2010
Eagle When She Flies,,,Eagle When She Flies,1991
Eagle When She Flies,José Feliciano,,Behind This Guitar,2021
Early Morning Breeze,,,Coat of Many Colors,1971
Early Morning Breeze,,,Jolene,1974
Early Morning Breeze,,,Blue Smoke,2014
Elusive Butterfly,,Bob Lind,The Great Pretender,1984
Endless Stream of Tears,,,The Grass Is Blue,1999
Entr'acte,Amber Davies;Bonnie Langford;Brian Conley;Caroline Sheen;Natalie McQueen;Original London Cast,,"9 to 5: The Musical, (Live West End Cast Recording)",2020
"Eugene, Oregon",,,Dolly,2009
Evangeline,Emmylou Harris;Linda Ronstadt,Robbie Robertson,Evangeline,1981
Even a Fool Would Let Go,,Kerry Chater;Tom Snow,"Dolly, Dolly, Dolly",1980
Even Cowgirls Get the Blues,Emmylou Harris;Linda Ronstadt,Rodney Crowell,Blue Kentucky Girl,1979
Evening Shade,,,My Blue Ridge Mountain Boy,1969
Everyday Hero,,Blaise Tosti;Robert O'Hearn,Rainbow,1987
Everyday People,,Sly Stone,9 to 5 and Odd Jobs,2009
Everyone But Me and You,Mac Davis,Mac Davis,Will Write Songs for Food,1994
Everything's Beautiful (In Its Own Way),Willie Nelson,,The Winning Hand,1982
Everything's Beautiful (In Its Own Way),,,Everything's Beautiful,1988
Everything's Beautiful (In Its Own Way),,,Dolly,2009
Faith,Galantis;Mr Probz,Christian Karlsson;David Saint Fleur;Henrik Jonback;Jimmy Koitzsch;John Hiatt;Linus Eklöw;Sam James,Church,2019
Falling Out of Love with Me,,,All I Can Do,1976
Falling Out of Love with Me,Pinmonkey,,Pinmonkey,2002
False Eyelashes,,Bob Tubert;Demetris Tapp,Just Because I'm a Woman,1968
Family,,Carl Perkins,Eagle When She Flies,1991
Family of Friends,,,First Dog,2010
Farther Along,Emmylou Harris;Linda Ronstadt,Emmylou Harris;John Starling,Trio,1987
Farther Along,,,Wild Texas Wind,1991
Farther Along,,,Precious Memories,1999
Farther Along,Emmylou Harris;Linda Ronstadt,Emmylou Harris;John Starling,The Complete Trio Collection,2016
Feels Like Home,Emmylou Harris,Randy Newman,Trio II,1999
Fight and Scratch,Porter Wagoner,,Once More,1970
Firecracker,,,"Run, Rose, Run",2022
First Noel,,The Mighty Fine Band,Home for Christmas,1990
Fish Out of Water,,,Straight Talk,1992
Fisherman's Song,,Judy Collins,Born to the Breed: A Tribute to Judy Collins,2008
Fool for Your Love,,Leo Sayer;Michael Omartian,"Dolly, Dolly, Dolly",1980
For the Good Times,,Kris Kristofferson,Treasures,1996
Forbidden Love,Bill Owens,Bill Owens,"""So Little I Wanted, So Little I Got"" B-side",1960
Forever,Angela Grovey;DeQuina Moore,Andre Merritt;Brian Kennedy;Chris Brown;Jamal Jones;Rob Allen,Joyful Noise,2012
Forever Country,Artists of Then;Now & Forever,Bill Danoff;John Denver;Taffy Nivert;Willie Nelson,Non-album single,2016
Forever Home,,,Sha-Kon-O-Hey! Land of Blue Smoke,2009
Forever Love,,,Pure & Simple,2016
Forty Miles from Poplar Bluff,Porter Wagoner,Frank Dycus,Porter Wayne and Dolly Rebecca,1970
Four O Thirty Three,Porter Wagoner,Bill Owens;Earl Montgomery,Just Between You and Me,1968
Fresh Out of Forgiveness,,Bill Owens;Gene Gill,In the Good Old Days (When Times Were Bad),1969
Friends Tell Friends,Bill Phillips,Bill Owens,Bill Phillips' Style,1967
From Here to the Moon and Back,Jeremy Jordan;Kris Kristofferson,,Joyful Noise,2012
From Here to the Moon and Back,Willie Nelson,,To All the Girls...,2013
Fuel to the Flame,,Bill Owens,"Hello, I'm Dolly",1967
Full Circle,,,Slow Dancing with the Moon,1993
Games People Play,,Joe South,My Blue Ridge Mountain Boy,1969
"Gee Ma, I Wanna Go Home",,,For God and Country,2003
Get Out and Stay Out,,,Better Day,2011
"Get Up, Get Out, Get On",,,Blue Smoke,2014
Gettin' Happy,,,Love Is Like a Butterfly,1974
Getting in My Way,,,New Harvest...First Gathering,1977
Getting in My Way,,,Live at the Boarding House,2006
Getting in My Way,,,Live at the Bottom Line,2015
Girl in the Movies,,Linda Perry,Dumplin',2018
Girl Left Alone,,Bill Owens;Dorothy Jo Hope,"""Puppy Love"" B-side",1959
Girl on Fire,,Alicia Keys;Billy Squier;Jeff Bhasker;Salaam Remi,Live from Glastonbury 2014,2016
Go Tell It on the Mountain,,John Wesley Work Jr.;The Mighty Fine Band,Home for Christmas,1990
Go to Hell,,,For God and Country,2003
God Bless the U.S.A.,,Lee Greenwood,For God and Country,2003
God Only Knows,For King & Country,Joel Smallbone;Jordan Reynolds;Josh Kerr;Luke Smallbone;Tedd Tjornhom,Non-album single,2019
God Won't Get You,,,Rhinestone,1984
God's Coloring Book,,,Here You Come Again,1977
God's Coloring Book,,,Heartsong,1994
God's Coloring Book,Margo O'Donnell,,The Highway of My Life,1999
God's Coloring Book,Charley Pride,,Pride and Joy: A Gospel Music Collection,2006
God's Coloring Book,,,"Singer, Songwriter & Legendary Performer",2007
God's Coloring Book,,,Dolly,2009
Gold,Emmylou Harris;Vince Gill,Emmylou Harris,All I Intended to Be,2008
Gonna Hurry (As Slow as I Can),,Bill Owens,Dolly,2009
Good as Gold,Porter Wagoner,Paul Martin,"Always, Always",1969
Good as Gold,Porter Wagoner,Paul Martin,"Just Between You and Me: The Complete Recordings, 1967–1976",2014
Good Old Country Baptizin',Mary Kay Place,Brian Ahern,"Tonite! At the Capri Lounge, Loretta Haggers",1976
Good Time,,,Sha-Kon-O-Hey! Land of Blue Smoke,2009
Great Balls of Fire,,Jack Hammer;Otis Blackwell,Great Balls of Fire,1979
Great Balls of Fire,,Jack Hammer;Otis Blackwell,Live from Glastonbury 2014,2016
Green Pastures,Emmylou Harris;Ricky Skaggs,Brian Ahern,Roses in the Snow,1980
Green-Eyed Boy,,,Something Special,1995
Grey Funnel Line,Emmylou Harris;Linda Ronstadt,Cyril Tawney,The Complete Trio Collection,2016
"Gypsy, Joe and Me",,,My Blue Ridge Mountain Boy,1969
Hallelujah Holiday,,,Backwoods Barbie: Collector's Edition,2009
Halos and Horns,,,Halos & Horns,2002
Halos and Horns,,,Live and Well,2004
Hand Me Downs,Janelle Arthur,Emily Lynch;Janelle Arthur,Non-album single,2021
Handful of Dust,Emmylou Harris;Linda Ronstadt,Tony Arata,The Complete Trio Collection,2016
Happy All the Time,Sam Williams,Mary Gauthier;Sam Williams,Glasshouse Children,2021
"Happy, Happy Birthday Baby",,Gilbert Lopez;Margo Sylvia,Single A-side,1965
"Happy, Happy Birthday Baby",Willie Nelson,Gilbert Lopez;Margo Sylvia,The Winning Hand,1982
Hard Candy Christmas,,Carol Hall,The Best Little Whorehouse in Texas,1982
Hard Candy Christmas,,Carol Hall,Single A-side,1982
Harper Valley PTA,,Tom T. Hall,In the Good Old Days (When Times Were Bad),1969
He Left Me Love,,Porter Wagoner,"My Favorite Songwriter, Porter Wagoner",1972
He Rode All the Way to Texas,Emmylou Harris,John Starling,Trio II,1999
He Would Know,,,The Bargain Store,1975
He's a Go-Getter,,,In the Good Old Days (When Times Were Bad),1969
He's a Go-Getter,,,A Real Live Dolly,2009
He's Alive,,Don Francisco,White Limozeen,1989
He's Alive,,Don Francisco,Heartsong,1994
He's Everything,Andy Karl;DeQuina Moore;Jeremy Jordan;Keke Palmer;Queen Latifah,,Joyful Noise,2012
Head Over High Heels,,,Pure & Simple,2016
Healing Hands,Sonya Isaacs;Vince Gill,Keith Sewell;Sonya Isaacs,Sonya Isaacs,2000
Heart Door,Paula Cole,Paula Cole,Sweet November,2001
Heart of the Smokies,,,Sha-Kon-O-Hey! Land of Blue Smoke,2009
Heartbreak Express,,,Heartbreak Express,1982
Heartbreaker,,Carole Bayer Sager;David Wolfert,Heartbreaker,1978
Heartbreaker's Alibi,Rhonda Vincent,Honey Brassfield,All American Bluegrass Girl,2006
Heartsong,,,Heartsong,1994
Heartsong,,,Heartsongs: Live from Home,1994
Heaven's Just a Prayer Away,,Tommy Tomlinson,The Golden Streets of Glory,1971
Hello God,,,Halos & Horns,2002
Hello God,,,"Singer, Songwriter & Legendary Performer",2007
Help!,,John Lennon;Paul McCartney,Great Balls of Fire,1979
Her and the Car and the Mobile Home,Porter Wagoner,Dave Kirby;Don Stock,The Right Combination • Burning the Midnight Oil,1972
Here Comes the Freedom Train,Porter Wagoner,Steve Lemberg,Single A-side,1973
Here I Am,,,Coat of Many Colors,1971
Here I Am,Sia,,Dumplin',2018
Here You Come Again,,Barry Mann;Cynthia Weil,Here You Come Again,1977
Here You Come Again,,Barry Mann;Cynthia Weil,Live and Well,2004
Here You Come Again,,Barry Mann;Cynthia Weil,Live from London,2009
Here You Come Again,,Barry Mann;Cynthia Weil,Live from Glastonbury 2014,2016
Here You Come Again,Willa Amai,Barry Mann;Cynthia Weil,Dumplin',2018
Hey Howdy Hey,,,Sha-Kon-O-Hey! Land of Blue Smoke,2009
"Hey, Lucky Lady",,,All I Can Do,1976
Hide Me Away,Porter Wagoner,,Porter & Dolly,1980
Hide Me Away,Porter Wagoner,,"Just Between You and Me: The Complete Recordings, 1967–1976",2014
High and Mighty,The Christ Church Choir,,Slow Dancing with the Moon,1993
High and Mighty,Aaron Crisler,,In Good Hands,2003
High Sierra,Emmylou Harris,Harley Allen,Trio II,1999
Highlight of My Life,,,Jolene,1974
Highway Headin' South,,Porter Wagoner,Love Is Like a Butterfly,1974
Hillbilly Willy,,,As Long as I Love,1970
Hobo's Meditation,Emmylou Harris;Linda Ronstadt,Jimmie Rodgers,Trio,1987
Hold Fast to the Right,,James D. Vaughan,Heartsongs: Live from Home,1994
Hold Me,,,Dolly,1975
Holdin' on to You,,,New Harvest...First Gathering,1977
Holdin' on to You,,,Live at the Bottom Line,2015
Holdin' on to You,Elle King,,Dumplin',2018
Holding Everything,Kent Wells,,Better Day,2011
Holding on to Nothin',Porter Wagoner,Jerry Chesnut,Just the Two of Us,1968
Holly Jolly Christmas,,Johnny Marks,A Holly Dolly Christmas,2020
Hollywood Potters,,,Heartbreak Express,1982
Home,,,Blue Smoke,2014
Home for Pete's Sake,,Rudy Preston,My Blue Ridge Mountain Boy,1969
Home Is Where the Hurt Is,Porter Wagoner,Fred MacRae;Marge Barton,Just Between You and Me,1968
Honky Tonk Songs,,,Hungry Again,1998
